Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	TotalEnvInteracts	Time
175	1138.5153	11.056932	1154.5886	1115.8184	446.9	14.590751	469.0	425.0	880000	13976.032184839249
176	1135.9805	11.020929	1151.0803	1113.3983	439.2	12.5044	461.0	420.0	885000	14047.131584644318
177	1129.3196	10.7733	1148.4983	1116.9166	434.6	15.698407	463.0	407.0	890000	14115.222566604614
178	1126.2076	6.406855	1135.4746	1117.0105	438.3	13.7553625	461.0	420.0	895000	14185.090630054474
179	1134.5598	12.929706	1155.4241	1113.3165	446.5	20.602184	481.0	418.0	900000	14255.758993148804
180	1128.2073	11.543429	1148.677	1103.4211	435.3	12.822247	454.0	414.0	905000	14325.323303937912
181	1122.9299	7.677304	1137.9456	1108.9896	441.9	12.193851	459.0	420.0	910000	14395.604881286621
182	1113.5902	17.373442	1137.1953	1079.0896	427.5	20.026232	459.0	385.0	915000	14465.917619466782
183	1126.1619	12.946029	1147.0806	1099.3323	436.1	18.50108	468.0	398.0	920000	14535.386052846909
184	1131.5062	11.51267	1160.141	1120.1871	441.0	18.665476	478.0	419.0	925000	14606.912543296814
185	1125.2908	12.110256	1145.9905	1109.8132	436.7	23.503405	476.0	402.0	930000	14669.371106386185
186	1139.2739	10.9856825	1158.3701	1119.0774	446.3	21.28873	479.0	405.0	935000	14731.235824108124
187	1133.2601	13.95757	1152.82	1104.7306	440.6	14.907716	461.0	416.0	940000	14791.901446819305
188	1117.0677	11.154917	1135.7711	1099.871	437.3	15.152887	471.0	412.0	945000	14853.271711349487
189	1115.5282	12.842374	1140.5845	1095.8048	439.6	8.534636	449.0	425.0	950000	14913.907553434372
190	1119.2567	15.602661	1145.6326	1098.3158	431.9	15.384733	463.0	415.0	955000	14974.359340190887
191	1134.4866	8.972406	1144.6674	1118.1757	442.1	14.98299	470.0	415.0	960000	15035.644702672958
192	1132.9006	10.517411	1152.747	1115.6312	441.8	18.383688	463.0	402.0	965000	15096.451954126358
193	1132.1414	8.205237	1148.5988	1122.2661	442.0	9.9699545	455.0	425.0	970000	15157.128723859787
194	1135.4248	15.355451	1155.3043	1107.6885	445.0	24.482647	471.0	392.0	975000	15217.802651643753
195	1138.199	11.12375	1147.9181	1110.6583	454.7	16.075136	473.0	424.0	980000	15278.086373806
196	1135.4119	11.935657	1147.632	1105.9309	445.3	10.742905	463.0	431.0	985000	15339.571075677872
197	1139.487	9.734604	1152.0508	1117.2828	453.3	16.474525	470.0	418.0	990000	15399.010668516159
198	1127.6301	15.776607	1151.3232	1091.1151	437.8	24.61219	465.0	381.0	995000	15460.707624912262
199	1126.3014	8.811088	1139.2651	1114.1548	440.4	20.035967	463.0	390.0	1000000	15520.208802461624
