Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	TotalEnvInteracts	Time
71	929.07166	11.8701725	953.6342	911.1207	0.9	0.83066237	3.0	0.0	360000	10423.997079372406
72	941.20935	7.288421	953.6313	929.507	0.5	0.67082036	2.0	0.0	365000	10575.857938528061
73	924.3369	8.0937195	936.0146	907.9256	0.6	1.0198039	3.0	0.0	370000	10724.379288434982
74	931.236	14.7242365	946.2461	895.83777	1.1	1.2206556	4.0	0.0	375000	10871.039742231369
75	939.75555	4.6061597	945.84	932.60657	2.2	1.4	5.0	1.0	380000	11014.877786874771
76	943.121	13.959306	958.96277	911.48615	2.2	2.6381812	9.0	0.0	385000	11157.503628730774
77	944.10126	8.471802	954.8382	931.1459	1.9	2.0223749	7.0	0.0	390000	11296.506445884705
78	948.2147	11.182474	963.19904	925.40674	0.5	0.5	1.0	0.0	395000	11437.357369661331
79	952.8693	8.263912	964.60284	937.82275	0.8	0.6	2.0	0.0	400000	11579.703061819077
80	948.64636	8.897516	959.4252	929.3065	0.3	0.64031243	2.0	0.0	405000	11727.6795566082
81	945.26416	7.2836833	954.1033	929.28815	0.6	0.66332495	2.0	0.0	410000	11874.49651169777
82	943.97296	21.923635	972.3929	902.4633	1.7	1.3453624	5.0	0.0	415000	12006.911504030228
83	968.53577	10.386866	982.2964	950.37067	3.7	3.2878566	10.0	0.0	420000	12139.571727514267
84	943.25745	11.347211	968.31506	927.5182	0.6	0.48989794	1.0	0.0	425000	12283.816375494003
85	952.48566	12.367623	967.8552	932.7361	0.9	1.3	4.0	0.0	430000	12431.726157665253
86	953.72675	18.025812	980.46936	913.0847	1.3	1.3453623	4.0	0.0	435000	12579.266050577164
87	959.65393	11.808204	976.6015	944.03705	1.6	1.7435596	6.0	0.0	440000	12724.011839866638
88	963.19745	9.921416	981.36786	947.2345	1.0	0.8944272	3.0	0.0	445000	12863.307893514633
89	969.52606	8.414314	985.82214	961.1289	1.5	1.2041595	4.0	0.0	450000	13001.382874965668
90	958.1717	8.956379	975.2176	946.9228	1.3	2.6476405	9.0	0.0	455000	13141.712812662125
91	956.9088	9.042019	972.88153	940.1646	1.5	1.8027756	5.0	0.0	460000	13282.643120288849
92	957.6151	9.890354	973.7402	939.32324	1.4	0.9165151	3.0	0.0	465000	13423.497858524323
93	963.7075	7.4867268	975.3919	952.7706	0.6	0.8	2.0	0.0	470000	13557.71270775795
94	970.8166	11.577816	987.91943	951.9979	1.2	0.97979593	3.0	0.0	475000	13697.721810102463
95	968.431	10.177561	981.3929	949.80273	3.4	2.2891047	8.0	0.0	480000	13837.685373783112
96	965.0487	11.357217	982.9594	942.0063	1.2	1.1661904	4.0	0.0	485000	13981.659367799759
97	959.95215	9.35034	978.2389	946.9565	3.1	2.0223749	8.0	0.0	490000	14124.894971370697
98	973.47284	8.259541	990.15125	964.32446	3.5	2.6551836	7.0	0.0	495000	14265.772008657455
99	967.8548	14.4771805	983.4836	937.6761	1.7	1.4866068	5.0	0.0	500000	14411.96259689331
100	972.29376	9.2201	988.38794	953.3097	2.9	2.5475478	9.0	0.0	505000	14554.912349939346
101	977.2925	10.745849	994.75507	961.58136	2.0	1.7320508	5.0	0.0	510000	14687.113540649414
102	969.6299	11.977713	981.21466	943.5697	2.8	2.6758175	9.0	0.0	515000	14805.332580804825
103	966.37305	8.459383	986.95233	958.0807	1.1	1.2206556	3.0	0.0	520000	14923.36503458023
104	962.06213	8.967838	972.6661	948.4006	0.2	0.4	1.0	0.0	525000	15042.162878751755
105	977.4126	9.268223	994.06165	960.0615	4.8	4.0447497	13.0	0.0	530000	15151.793972492218
106	972.6865	4.8444805	980.7861	966.08514	2.2	1.2489996	5.0	1.0	535000	15266.934618473053
107	966.01154	6.982797	978.2212	958.78064	1.6	1.6852299	4.0	0.0	540000	15383.196127414703
108	967.22003	10.311298	985.12195	950.6765	1.9	1.6999999	6.0	0.0	545000	15496.540040254593
109	970.4582	7.8942485	987.0676	961.64813	2.2	1.989975	7.0	0.0	550000	15599.144991636276
110	977.21484	11.498745	991.2084	946.3869	0.8	1.077033	3.0	0.0	555000	15694.365612506866
111	974.9927	11.634443	992.2274	948.02136	1.3	2.93428	10.0	0.0	560000	15790.818474054337
112	975.76794	11.353881	991.9283	957.22394	2.0	1.8439089	6.0	0.0	565000	15888.471067667007
113	974.3503	5.702071	983.9988	965.68774	1.3	1.0049876	3.0	0.0	570000	15988.21834731102
114	965.39685	10.224873	984.81226	948.92487	3.6	3.104835	9.0	0.0	575000	16085.39545917511
115	964.23553	11.213451	982.5428	949.30914	1.7	1.4177446	5.0	0.0	580000	16178.81296157837
116	971.39404	13.810382	985.14264	933.94904	7.1	3.5341194	14.0	1.0	585000	16274.90977883339
117	966.3833	9.256587	987.93304	953.33844	6.2	4.5122056	15.0	0.0	590000	16376.06466293335
118	967.86005	19.257027	989.2725	931.7974	2.9	2.0223749	6.0	0.0	595000	16477.159168958664
119	982.0461	10.616778	999.2994	961.766	2.2	1.1661904	4.0	0.0	600000	16572.802357196808
120	975.65106	10.463209	998.6503	959.5592	1.9	1.4456832	5.0	0.0	605000	16675.031991243362
121	977.26544	8.312804	989.7503	961.9775	1.7	1.1874342	4.0	0.0	610000	16775.83974289894
