Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	TotalEnvInteracts	Time
152	1448.1018	9.505171	1466.3483	1432.9382	484.3	0.64031243	485.0	483.0	765000	8073.164884805679
153	1432.8646	12.299431	1448.8325	1405.809	484.1	1.4456834	485.0	480.0	770000	8124.804954767227
154	1436.8044	11.846683	1454.7332	1415.4949	484.6	0.66332495	485.0	483.0	775000	8174.018228054047
155	1435.043	15.266409	1452.9536	1401.2649	483.9	0.9433981	485.0	482.0	780000	8224.13006734848
156	1450.1196	17.781212	1472.8931	1417.6094	484.5	0.67082036	485.0	483.0	785000	8276.01134443283
157	1461.1804	14.022587	1489.6509	1442.9012	484.4	0.66332495	485.0	483.0	790000	8328.874281644821
158	1442.2434	14.534336	1466.8475	1419.0012	483.1	0.7	484.0	482.0	795000	8378.790687799454
159	1433.7881	54.9025	1479.2529	1280.8324	478.7	14.601712	485.0	435.0	800000	8428.18036031723
160	1449.1824	12.88241	1469.5704	1435.234	483.5	1.024695	485.0	482.0	805000	8480.878465414047
161	1432.1383	20.469841	1458.243	1401.8898	483.7	0.90000004	485.0	482.0	810000	8530.528058052063
162	1432.1293	58.255493	1468.6447	1265.8254	474.0	29.678274	485.0	385.0	815000	8582.109359502792
163	1440.6523	23.329597	1495.2822	1415.074	483.8	0.97979593	485.0	482.0	820000	8633.09541463852
164	1424.7131	26.718607	1464.0308	1353.8578	481.9	5.4854355	485.0	466.0	825000	8682.508563041687
165	1433.4017	19.511534	1468.8933	1400.5538	483.4	0.8	485.0	482.0	830000	8732.716910362244
166	1439.8575	15.60842	1473.5507	1418.3168	482.9	0.83066237	484.0	482.0	835000	8784.936594724655
167	1432.8574	31.854435	1484.6334	1379.3049	482.1	3.0805843	484.0	473.0	840000	8836.834848880768
168	1423.596	39.6383	1464.1917	1326.4952	480.0	10.353744	484.0	449.0	845000	8886.643687725067
169	1443.4885	16.667637	1476.295	1417.9467	482.9	1.3	485.0	481.0	850000	8937.411937236786
170	1437.2523	24.650627	1482.9734	1386.3444	483.1	0.83066237	485.0	482.0	855000	8989.376451015472
171	1434.5544	14.049077	1455.1195	1414.1671	483.7	0.6403124	485.0	483.0	860000	9040.900395154953
172	1446.3329	14.209094	1470.5483	1419.6277	483.7	0.9	485.0	482.0	865000	9090.155596494675
173	1443.1565	17.876774	1482.634	1417.2743	483.0	0.4472136	484.0	482.0	870000	9140.569946289062
