Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	TotalEnvInteracts	Time
85	947.0206	18.025234	968.06384	920.6108	4.3	2.6476405	8.0	1.0	430000	14517.408365249634
86	951.9798	15.026444	976.42224	922.5683	1.9	1.7578394	5.0	0.0	435000	14688.927348613739
87	947.56396	10.364955	958.46515	929.9417	2.3	1.4866068	5.0	0.0	440000	14833.271845817566
88	945.3665	20.18506	971.4778	910.7229	3.6	2.4576411	8.0	0.0	445000	14977.627731323242
89	950.14954	10.211128	965.8372	934.79803	3.5	1.5652477	7.0	1.0	450000	15114.968508958817
90	955.334	4.495338	960.8189	947.14343	4.6	2.6907248	10.0	1.0	455000	15252.52686214447
91	958.48096	11.080974	974.29224	935.3781	5.0	1.6124516	7.0	2.0	460000	15387.539531946182
92	962.8856	4.580414	971.3691	956.7128	4.7	1.9	8.0	2.0	465000	15526.93520617485
93	959.14246	7.959796	970.5936	946.44904	3.7	1.7916473	6.0	1.0	470000	15639.466390371323
94	965.0133	8.551392	977.9227	952.29694	4.5	2.539685	10.0	2.0	475000	15745.46207523346
95	962.20105	13.181301	976.59735	929.5377	6.2	2.9257476	10.0	2.0	480000	15850.058905363083
96	964.2267	12.610719	982.9835	937.9725	6.3	3.2878563	12.0	2.0	485000	15949.770774364471
97	970.6066	7.2315884	980.7289	959.1116	5.5	2.7658634	11.0	1.0	490000	16051.54033946991
98	970.3381	6.666054	987.24976	963.2424	7.0	5.234501	20.0	1.0	495000	16155.261194705963
99	968.96454	5.4207826	977.451	960.48083	4.9	2.9137604	12.0	2.0	500000	16259.117958784103
100	966.4456	8.7697315	979.7078	953.4052	7.5	6.0207973	17.0	0.0	505000	16354.382541894913
101	977.72766	7.3345456	986.8924	962.5897	7.3	2.8999999	13.0	3.0	510000	16451.831470489502
102	980.7902	4.68042	987.36255	973.08984	4.5	2.4596748	10.0	1.0	515000	16552.73775243759
103	974.736	9.927673	986.4974	958.5204	4.1	2.2113342	9.0	1.0	520000	16658.291761159897
104	966.75275	9.499947	980.7586	950.0425	3.0	1.0954452	5.0	1.0	525000	16768.12578511238
105	960.6823	9.251867	978.1869	945.7338	3.0	3.4928498	13.0	1.0	530000	16878.200716495514
106	963.43555	12.793113	981.3347	932.88776	2.7	1.6155494	6.0	0.0	535000	16987.751987218857
107	971.09863	7.5727954	990.27344	963.5899	3.2	1.6613249	7.0	1.0	540000	17089.572827100754
108	980.8273	5.882875	991.8606	972.63043	5.5	3.3241541	12.0	2.0	545000	17189.169012784958
109	991.04895	7.280279	1003.5338	978.29645	6.1	3.3	13.0	1.0	550000	17288.246928930283
110	970.9762	10.505932	985.81494	954.6701	4.7	3.132092	8.0	0.0	555000	17392.037531852722
111	982.2492	7.3759475	994.0398	971.39124	3.7	2.0024984	7.0	0.0	560000	17494.346747159958
112	986.9752	9.131555	1002.45135	969.9265	5.0	3.2863355	12.0	1.0	565000	17596.433743953705
113	989.9349	8.372613	1009.8589	979.92554	3.3	1.5524175	6.0	1.0	570000	17695.768023252487
114	987.5169	6.2167053	996.9668	977.77325	3.0	1.7320508	6.0	1.0	575000	17791.90141558647
115	998.04266	7.406573	1006.7847	984.0183	3.8	2.7856774	9.0	0.0	580000	17885.941351413727
116	988.986	7.005408	999.85095	970.6126	5.0	4.6260133	16.0	0.0	585000	17980.5554959774
117	994.2996	10.079956	1010.3624	976.73535	6.4	2.4576411	10.0	3.0	590000	18076.768921613693
118	989.8568	7.1797485	1000.9481	980.11505	7.8	2.4819348	11.0	4.0	595000	18173.92775964737
119	983.92957	7.1467876	993.0151	972.9702	5.5	3.0083218	10.0	0.0	600000	18276.262477636337
120	983.8006	5.9047923	993.2086	972.43866	4.6	3.8781435	15.0	1.0	605000	18378.276304721832
121	985.0926	12.50189	996.791	953.2684	1.8	1.4	4.0	0.0	610000	18481.307859420776
122	989.9238	7.865278	1003.9394	977.05646	2.1	1.3747727	4.0	0.0	615000	18588.46750354767
123	991.50916	7.282242	1000.7698	978.2359	2.8	2.1354156	8.0	0.0	620000	18685.94455718994
124	985.8707	6.1402516	997.8044	976.2252	2.6	1.356466	4.0	0.0	625000	18786.966494321823
125	993.7336	6.3934546	1005.2403	983.2612	1.6	1.1135529	3.0	0.0	630000	18884.883446455002
126	992.56604	6.3189583	1001.9296	977.88	3.4	3.0397367	10.0	0.0	635000	18983.879094600677
127	998.6292	6.830089	1013.3107	989.86	3.3	2.3685439	8.0	0.0	640000	19081.529693603516
128	1001.66504	5.441146	1009.49976	993.26514	2.7	1.6763054	5.0	0.0	645000	19173.76581120491
129	1006.8589	3.7467997	1014.4534	999.8	4.2	2.8913665	9.0	1.0	650000	19265.09473156929
130	998.3039	5.1827826	1007.6898	991.12274	2.0	1.6124516	6.0	1.0	655000	19361.19949698448
131	1003.26526	7.875042	1012.9903	988.72546	4.6	2.57682	10.0	1.0	660000	19459.636751413345
132	998.525	12.068756	1019.1056	981.53705	6.2	2.3151672	10.0	3.0	665000	19556.779776334763
133	1005.86035	8.576123	1022.2676	993.8964	6.5	3.7749171	13.0	1.0	670000	19656.99074268341
134	997.68835	5.1184206	1009.15894	990.89417	5.5	3.8013155	12.0	0.0	675000	19758.82244849205
135	993.6421	8.626608	1006.5001	979.78253	3.5	2.376973	9.0	1.0	680000	19865.16406583786
136	991.7206	9.429405	1005.631	977.42395	1.7	1.3453624	4.0	0.0	685000	19974.037751197815
137	993.3843	9.34005	1006.7911	975.10077	2.3	1.4866068	5.0	1.0	690000	20078.485654354095
138	998.83136	7.0521994	1008.0824	986.2877	3.5	2.0124612	7.0	0.0	695000	20174.351653575897
139	1000.6782	9.156979	1016.09937	985.7566	4.7	2.0024984	9.0	2.0	700000	20270.67809176445
140	990.6085	16.494198	1013.88104	962.9459	6.1	2.5079873	11.0	3.0	705000	20364.795571565628
141	994.08997	14.317558	1018.73584	975.11255	5.3	2.9342802	10.0	2.0	710000	20474.14664888382
142	995.39734	14.444691	1018.2362	969.678	1.9	1.5132747	4.0	0.0	715000	20585.751547574997
143	970.972	14.518291	987.43335	938.1402	2.2	1.4	6.0	1.0	720000	20702.561773061752
144	981.98987	10.327882	1000.3176	966.266	1.8	2.0396078	7.0	0.0	725000	20818.817471027374
145	987.26935	7.860199	997.6861	976.1224	2.6	2.1071308	6.0	0.0	730000	20930.308116197586
146	983.2233	17.527266	1004.9338	951.5701	1.7	1.5524175	5.0	0.0	735000	21041.862211942673
147	989.73047	8.455074	1006.9136	970.9369	2.9	1.5132746	5.0	0.0	740000	21150.843791484833
148	998.64124	7.2288227	1006.1948	985.8395	2.7	1.6763054	6.0	0.0	745000	21257.946563243866
149	992.2637	10.227349	1009.6278	973.2125	2.6	2.6533	9.0	0.0	750000	21360.551368951797
150	999.7459	8.5810995	1010.3879	982.3312	3.5	2.6172504	8.0	0.0	755000	21459.554322719574
151	1002.18176	10.8087	1015.0429	978.9086	2.7	1.0049875	4.0	1.0	760000	21557.36147427559
152	1007.89197	9.040519	1016.76733	986.5117	3.9	2.0712316	7.0	1.0	765000	21651.103196144104
153	1012.516	6.491568	1023.25543	999.0285	5.2	2.3151672	10.0	2.0	770000	21741.95181107521
154	1011.67267	9.177354	1019.1063	988.7786	4.9	3.4770677	12.0	2.0	775000	21839.166321992874
155	998.6512	8.620246	1012.6798	983.95575	3.7	1.8466185	6.0	0.0	780000	21942.223324537277
156	1002.2645	11.199234	1024.1006	983.1922	4.8	1.6	7.0	2.0	785000	22046.767418384552
157	1001.6959	10.0247135	1017.4121	981.51025	3.1	1.6401219	5.0	0.0	790000	22149.90652871132
158	1006.37634	6.9693375	1016.08966	992.48663	5.3	2.0024984	8.0	2.0	795000	22253.7351000309
159	1003.91455	6.6943517	1015.40137	994.4409	4.1	2.118962	7.0	0.0	800000	22348.88649392128
160	1012.72864	5.8866925	1021.1661	1002.4007	5.0	1.6124516	7.0	2.0	805000	22439.37518620491
161	1025.4382	5.4939656	1033.9006	1015.2702	11.3	2.7221315	16.0	7.0	810000	22532.688017845154
